participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
NJL7V,goc,52,delta,-0.1189283768383973,1.9405921832883464,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,53,delta,0.12731701574134124,2.2114948130805887,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,54,delta,0.5176010718451161,2.4568054202155842,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,55,delta,0.5955762499540098,2.484597181463314,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,56,delta,0.23474442198989642,2.3417241504031416,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,57,delta,-0.1736153513857266,2.279992074331901,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,58,delta,-0.13359298671213926,2.4195215492360793,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,59,delta,0.05313982013134555,0.7238345553716098,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,0,theta,-3.8477989920545888,9.041272863164576,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,1,theta,-2.656032541276577,8.69911011456981,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,2,theta,-2.5510943092205345,8.832365617873316,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,3,theta,-3.059086103509408,9.39093011587023,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,4,theta,-3.0027982694431774,9.92102226688515,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,5,theta,-1.9447111965979254,10.021634562311105,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,6,theta,-0.6747208445489328,9.67417084474249,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,7,theta,-0.2911918138472309,9.284392303449632,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,8,theta,-0.9311200971536131,9.214836553151127,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,9,theta,-1.4264452907992933,9.407918070819196,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,10,theta,-0.9367496556640074,9.567967795609785,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,11,theta,0.03610931914742821,9.46733074576733,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,12,theta,0.4604330213024799,9.16844099713187,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,13,theta,0.05314178506193201,9.012142703800027,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,14,theta,-0.3738319192007449,9.187623908000177,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,15,theta,0.07272507738326794,9.571855146901713,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,16,theta,1.3958943291915311,9.945149336695394,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,17,theta,2.694974030800811,10.22343910879083,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,18,theta,3.1275483448341213,10.376431651789739,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,19,theta,2.730993703461321,10.32743743990704,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,20,theta,2.2291483847040316,9.994733669251431,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,21,theta,2.3284428985169736,9.479805653397507,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,22,theta,3.121777871773446,9.095223283060037,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,23,theta,3.7984106070094477,8.999724085694071,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,24,theta,3.480611481495293,9.07562365656881,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,25,theta,2.186490518604293,9.131314543684228,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,26,theta,0.9665240574384821,9.099711486058185,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,27,theta,1.090240583897156,9.060596856370566,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,28,theta,2.515106019758667,9.077235845811678,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,29,theta,3.810495037555894,9.085961943556741,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,30,theta,3.814149586597985,9.022924532134976,2.546875,6.671875,4.731249999999999,LN,HP,LNP
