participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
SWLFB,jmi,0,delta,-1.1056690286094526,1.6651873720687278,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,1,delta,-1.319824313551334,1.7684694161183045,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,2,delta,-0.9934223847502441,1.8214101017608895,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,3,delta,-0.47057231826309387,1.7581788191609853,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,4,delta,-0.2663834999037742,1.6833670630856181,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,5,delta,-0.5571076477402213,1.7013076766939244,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,6,delta,-1.0301234386258369,1.7876130213672599,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,7,delta,-1.1924966188367416,1.8515077909072568,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,8,delta,-0.9304108791243191,1.8402719693239944,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,9,delta,-0.6066999959878552,1.7748870937452783,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,10,delta,-0.5513568886259845,1.7949369940191198,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,11,delta,-0.24452509966299374,5.923192918442715,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,12,delta,-0.6939522280154762,21.627879904514067,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,13,delta,-2.5232409598483088,32.48428001891297,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,14,delta,-2.9595410013212238,31.601040542425125,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,15,delta,0.5916072093823814,14.33893670838182,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,16,delta,1.6733838654722035,7.82283496131204,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,17,delta,1.4817645955799925,6.3285472435451116,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,18,delta,1.256824357331964,5.77725560061598,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,19,delta,1.0789261931876837,5.4989941922759495,1.825,6.296875,3.5031250000000003,LN,HP,LNP
SWLFB,jmi,20,delta,0.9555248514892831,5.244702728939881,1.825,6.296875,3.5031250000000003,LN,HP,LNP
